train_acc,train_loss,val_acc,val_loss
0.0411157894736842,4.2630105,0.05960000000000001,4.153844
0.07578947368421053,3.9282365,0.0912,3.8005378
0.11526315789473685,3.6834457,0.1188,3.6267242
0.16290526315789472,3.4166303,0.1672,3.4158971
0.2117263157894737,3.1445158,0.22279999999999997,3.1267545
0.25625263157894734,2.9004471,0.2688,2.8192694
0.2925473684210526,2.7112088,0.30760000000000004,2.5948431
0.33058947368421054,2.5304966,0.3196,2.604126
0.3582105263157895,2.396603,0.3532,2.4194095
0.3851578947368421,2.2764947,0.3668,2.324862
0.4084842105263158,2.1769173,0.3992,2.2242641
0.42793684210526317,2.0930936,0.41720000000000007,2.1777315
0.4439368421052632,2.0155513,0.43359999999999993,2.0788648
0.4612421052631579,1.9435256,0.42440000000000005,2.0857732
0.47370526315789474,1.8935387,0.43999999999999995,2.1397808
0.48663157894736847,1.8401084,0.46559999999999996,1.9370804
0.4980421052631579,1.7927768,0.44120000000000004,2.0291414
0.5106315789473684,1.7480677,0.46919999999999995,1.9397931
0.5223578947368421,1.6968452,0.45880000000000004,1.9745342
0.5288842105263158,1.6615208,0.468,1.8823144
0.5386526315789473,1.6231507,0.4892,1.840899
0.5466315789473685,1.587618,0.4895999999999999,1.8640033
0.5567368421052631,1.5545145,0.4936,1.8149296
0.5631368421052632,1.528525,0.5084000000000001,1.7599764
0.5720631578947368,1.4966247,0.5112000000000001,1.7355332
0.5776210526315789,1.4678524,0.5168,1.756601
0.5841684210526314,1.4374113,0.5144,1.7570807
0.594,1.4095768,0.5268,1.706545
0.5989894736842105,1.3852246,0.5288,1.7024813
0.6038947368421053,1.3651714,0.5307999999999999,1.7126341
0.6093263157894737,1.3383309,0.5388000000000001,1.6705272
0.6149894736842105,1.3172781,0.532,1.7003505
0.621578947368421,1.2953812,0.5444,1.7179108
0.6265894736842105,1.2699342,0.5444,1.664691
0.6331157894736843,1.247833,0.5396,1.6485703
0.6353684210526316,1.2338936,0.5408,1.6602741
0.6425263157894738,1.2133603,0.5552,1.6600581
0.6481263157894737,1.1924448,0.556,1.6130338
0.6521894736842104,1.1762471,0.5536,1.6204623
0.6516631578947367,1.1664829,0.5352,1.6767102
0.6623157894736843,1.1400009,0.554,1.6224244
0.6670947368421053,1.1183087,0.5456000000000001,1.6801547
0.6689263157894737,1.1109923,0.5576,1.6471449
0.6749473684210526,1.0858233,0.554,1.6296895
0.6804842105263157,1.0692401,0.5668000000000001,1.644702
0.6828000000000001,1.0571529,0.5604,1.6590941
0.6884842105263157,1.0400842,0.5592,1.6383644
0.6902526315789473,1.0262392,0.5692,1.6274506
0.6929052631578947,1.0095156,0.5596,1.6654378
0.7000421052631579,0.99661636,0.5592,1.7106445
0.7006947368421053,0.9892188,0.5716,1.6596097
0.7084421052631579,0.96579087,0.5676000000000001,1.6620111
0.7106315789473684,0.95359915,0.5684,1.6800694
0.7140842105263157,0.93641776,0.5596000000000001,1.668947
0.7186526315789474,0.9246524,0.5763999999999999,1.6769677
0.7212842105263159,0.9194911,0.5648000000000001,1.6369641
0.7213263157894737,0.9116377,0.5776,1.6268855
0.7281894736842105,0.8903766,0.5636,1.6521565
0.7297473684210526,0.878909,0.5764,1.650272
0.7357684210526316,0.8656462,0.572,1.6592507
0.7363157894736843,0.85282785,0.5776,1.6408688
0.7409684210526315,0.84323794,0.5788,1.6460047
0.7438947368421053,0.8307216,0.5792,1.6624278
0.7474526315789473,0.8202581,0.5804,1.6687934
0.7490105263157895,0.81151956,0.5851999999999999,1.6453681
0.7535368421052632,0.79854107,0.5692,1.6877427
0.7567157894736843,0.78574824,0.5795999999999999,1.6720018
0.756378947368421,0.7837928,0.5704,1.7178621
0.7622526315789472,0.76209897,0.586,1.6672385
0.7653263157894736,0.75401956,0.5836,1.6850843
0.7682315789473685,0.7451541,0.5852,1.6789895
0.7726315789473684,0.73700476,0.5744,1.6815143
0.7722736842105264,0.7335039,0.578,1.6994838
0.7716,0.731424,0.5783999999999999,1.6897361
0.7782315789473684,0.71481,0.5828,1.6871507
0.7782105263157896,0.7095706,0.5776,1.6919677
0.782021052631579,0.7012694,0.5824,1.7145021
0.7851578947368422,0.6933135,0.5876,1.6940904
0.785663157894737,0.6879248,0.5812,1.7037518
0.7880842105263158,0.68117386,0.582,1.7289313
0.7874526315789475,0.6805075,0.5856,1.6979897
0.7906315789473685,0.6703425,0.5804,1.7144008
0.7943157894736841,0.6615211,0.5816,1.7116809
0.7941052631578948,0.6553946,0.5808,1.7172238
0.7946736842105264,0.65438247,0.5824000000000001,1.7042832
0.7986736842105263,0.64641356,0.5788,1.720197
0.800021052631579,0.64126414,0.5808,1.7236869
0.7973052631578947,0.6457287,0.582,1.7266356
0.7994315789473685,0.6388622,0.5840000000000001,1.7363555
0.8026947368421052,0.6338198,0.5856,1.7272613
0.8012631578947369,0.63149095,0.5828,1.729588
0.8044000000000001,0.6265224,0.5855999999999999,1.7342395
0.8052,0.6244548,0.5836,1.753156
0.8045684210526316,0.6256036,0.582,1.7382822
0.8058315789473683,0.6220972,0.5828,1.7478535
0.8052631578947368,0.62254924,0.5811999999999999,1.7444168
0.8058526315789474,0.62257004,0.58,1.744722
0.8047368421052632,0.6186351,0.58,1.739056
0.8083578947368422,0.61024857,0.5756,1.7540021
0.8067578947368422,0.6196333,0.582,1.7424116
